Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,15.7,0,0,40.15,45.26463,1.62369,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.06689289,0,0.3561453,0,405.8274,15.53323,0.1277436,0,39.95435,45.26463,1.685803,808.152346984715,808.152346983384,0.00146664611190495,83.7675855302067,83.13575,0.0001507147,89.9999,89.9999,4.310608,0.0000078042
0.2,S,0.2,0.137248,3.530392,0.3760926,0.4431383,392.8806,15.34063,0.5676636,0.7384898,39.75869,45.26463,1.747916,790.626309041522,790.6258,-0.897175,163.311162392586,162.9933,-0.08470248,89.95503,90.02978,17.03081,-0.003741044
0.3,S,0.3,0.2068511,2.186475,0.3479863,0.2731245,387.1249,15.15263,1.19229,0.9997033,39.56303,45.26463,1.810029,787.281950656691,787.2815,0.8423702,242.091466478378,241.8777,-0.0976489,89.77851,90.02313,37.67157,-0.01438099
0.3999999,S,0.3999999,0.2765235,1.321454,0.3342041,0.1670559,385.1023,14.96672,2.044505,1.07426,39.36738,45.26463,1.872142,791.271553424953,791.2548,5.149052,320.998791225277,320.828,0.2008798,89.45233,89.96413,66.19834,-0.01288334
0.4999998,S,0.4999998,0.3466922,0.6240416,0.3266677,0.08230561,384.3918,14.78156,3.137638,0.8230005,39.17172,45.26463,1.934254,797.656713056989,797.5642,12.1482,400.464856649114,400.304,1.080405,89.00003,89.84536,102.6471,0.04529346
0.5999997,S,0.5999997,0.4169909,0.06040615,0.3226565,0.01305828,378.4221,14.59781,4.47698,0.1873202,38.97607,45.26463,1.996367,792.016189817672,791.748,20.60945,479.924463432379,479.7477,2.755398,88.50529,89.67093,147.0518,0.2300451
0.6999996,S,0.6999996,0.4872626,-0.2991224,0.3208632,-0.03291407,377.7413,14.41593,6.06887,-0.6406767,38.78041,45.26463,2.05848,797.395798412867,796.8813,28.64006,559.424531325876,559.2085,5.27641,88.10853,89.4594,199.3927,0.6250554
0.7999995,S,0.7999995,0.5572845,-0.3751108,0.320464,-0.04558425,368.7753,14.23606,7.913186,-1.153751,38.58476,45.26463,2.120593,783.481513887444,782.8248,32.07203,638.404306852688,638.132,8.375291,87.95135,89.24805,259.6659,1.30501
0.8999994,S,0.8999994,0.6261434,-0.188515,0.3212973,-0.02571801,360.6017,14.06038,9.993496,-0.8174115,38.3891,45.26463,2.182706,770.176434399978,769.6086,29.56929,716.024577254662,715.6938,11.49289,88.06985,89.08,327.756,2.300752
0.9999993,S,0.9999993,0.6934386,0.0778281,0.3229349,0.006602976,348.114,13.88955,12.28931,0.2560782,38.19345,45.26463,2.244819,745.746025712986,745.3927,22.95338,791.709074364376,791.3341,14.09492,88.31434,88.97958,403.5056,3.585736
1.099999,S,1.099999,0.7582394,0.1769967,0.3214663,0.02140205,331.4299,13.7255,14.58715,0.9873237,37.99779,45.26463,2.306931,710.53242951451,710.2944,18.39018,864.404853881526,864.0027,16.09548,88.4292,88.93276,486.6656,5.098881
1.199999,S,1.199999,0.8200575,0.04770286,0.3226053,0.007899096,316.8868,13.56929,17.07279,0.4241773,37.80214,45.26463,2.369044,678.717535899448,678.4197,20.10483,933.699812283152,933.2723,17.98261,88.3138,88.89614,576.9015,6.801064
1.299999,S,1.299999,0.8747232,-0.09224564,0.3293913,-0.01021477,251.0992,13.42888,19.77073,-0.619606,37.60648,45.26463,2.431157,522.107493304189,521.7346,19.72921,993.600348524613,993.1387,20.0159,88.16111,88.84541,673.662,8.70165
1.399999,S,1.399999,0.9196733,-0.04887899,0.3412701,-0.007381211,235.1209,13.3116,22.56726,-0.4926358,37.41082,45.49405,2.566103,481.606760853751,481.2642,18.16155,1043.62844581661,1043.131,21.94978,88.18201,88.79455,775.7587,10.80148
1.499999,S,1.499999,0.9562981,0.05797364,0.3747397,0.006645211,159.2359,13.21116,26.69954,0.4760118,37.21517,45.92279,2.764324,290.60787792267,290.4648,9.118041,1082.69856964108,1082.178,23.30136,88.28117,88.7665,882.3839,13.0718
1.599999,S,1.599999,0.9745467,0.01516966,0.3911132,0.003227896,63.12701,13.15014,28.83517,0.2382035,37.01952,46.14359,2.896533,51.7496050071015,51.6837,2.610895,1100.50677541421,1099.977,23.87426,88.23728,88.75663,991.7871,15.43597
1.699999,S,1.699999,0.9708132,-0.04313538,0.4414097,-0.005695867,0,13.13735,32.17675,-0.4143619,36.90212,46.0945,2.918216,-110.982030820932,-110.9798,-0.703674,1094.25658202527,1093.723,23.89921,88.16751,88.74821,1101.582,17.82761
1.799999,S,1.799999,0.9614816,0.02576021,0.4308728,0.002469985,0,13.13735,30.6962,0.1756183,36.90212,45.99078,2.88529,-107.343056390732,-107.3229,-2.080118,1083.36270092565,1082.828,23.76428,88.22555,88.74276,1210.352,20.21208
1.899999,S,1.899999,0.9524515,0.01415203,0.4206802,0.00252086,0,13.13735,29.30404,0.1752602,36.90212,45.88402,2.851397,-103.933634489228,-103.9143,-2.004653,1072.8177494705,1072.285,23.53636,88.20842,88.74258,1318.052,22.57691
1.999998,S,1.999998,0.9437066,-0.02647304,0.4108101,-0.003271854,0,13.13735,27.9932,-0.222527,36.90212,45.77976,2.818298,-100.730709404294,-100.7261,-0.9636368,1062.60364987996,1062.07,23.40342,88.1576,88.73766,1424.716,24.92304
2.099998,S,2.099998,0.9352299,0.008640523,0.4012406,0.0005464224,0,13.13735,26.75701,0.03637102,36.90212,45.68267,2.787478,-97.6973163543878,-97.6852,-1.538611,1052.69985771075,1052.165,23.28399,88.18213,88.73227,1530.376,27.25797
2.199998,S,2.199998,0.9270051,0.01684585,0.3919576,0.002319264,0,13.13735,25.58989,0.1511438,36.90212,45.58364,2.756037,-94.837568012739,-94.82125,-1.75922,1043.08910585543,1042.555,23.10696,88.18323,88.73032,1635.062,29.57765
2.299998,S,2.299998,0.9190217,-0.01121971,0.3830042,-0.001135281,0,13.13735,24.49059,-0.0724646,36.90212,45.49,2.726312,-92.1490124424966,-92.14178,-1.154501,1033.75833560559,1033.224,22.96445,88.14651,88.72675,1738.802,31.88069
2.399998,S,2.399998,0.9112487,-0.005073255,0.3770232,-0.0008674327,0,13.13735,23.61977,-0.05424763,36.90212,45.39799,2.697102,-90.0159471754172,-90.00851,-1.157097,1024.66755481156,1024.132,22.85568,88.14239,88.72153,1841.622,34.17174
2.499998,S,2.499998,0.9036357,0.01204889,0.3741431,0.001364004,0,13.13735,22.9698,0.08359486,36.90212,45.30767,2.66843,-88.4215708202456,-88.40946,-1.46341,1015.76086623524,1015.225,22.72095,88.15086,88.71792,1943.544,36.45082
2.599998,S,2.599998,0.896138,0.003343843,0.3731312,0.0005854373,0,13.13735,22.45187,0.0351658,36.90212,45.26463,2.654764,-87.153923900625,-87.14394,-1.319156,1006.98989462953,1006.454,22.57904,88.13403,88.71483,2044.584,38.71568
2.699998,S,2.699998,0.8887468,-0.006491189,0.3718382,-0.000757313,0,13.13735,21.93154,-0.04459066,36.90212,45.26463,2.654764,-85.8812916194381,-85.87426,-1.098963,998.346569930747,997.8099,22.46137,88.11475,88.71045,2144.752,40.96753
2.799998,S,2.799998,0.8814594,0.00120955,0.3705632,0.00001248963,0,13.13735,21.42659,0.0007209384,36.90212,45.26463,2.654764,-84.6436365695653,-84.63532,-1.186516,989.828565231731,989.291,22.34857,88.11282,88.70588,2244.064,43.20811
2.899998,S,2.899998,0.8742731,0.006960943,0.3693062,0.0008336404,0,13.13735,20.93648,0.04717997,36.90212,45.26463,2.654764,-83.4424287256176,-83.43266,-1.276776,981.431909660776,980.8939,22.22331,88.10972,88.70212,2342.53,45.43677
2.999998,S,2.999998,0.8671848,0.001004597,0.3680661,0.0002092867,0,13.13735,20.46055,0.01161446,36.90212,45.26463,2.654764,-82.2775588321166,-82.26929,-1.166452,973.153399006324,972.6149,22.10065,88.09484,88.6983,2440.163,47.65287
3.099998,S,3.099998,0.8601924,-0.002412749,0.366843,-0.0002983023,0,13.13735,19.99835,-0.01623456,36.90212,45.26463,2.654764,-81.146216973178,-81.13908,-1.076209,964.98995467915,964.4506,21.99015,88.08186,88.69385,2536.974,49.85734
