Mach,CD Power-Off
0.01,0.407288886
0.02,0.391445197
0.03,0.398029922
0.04,0.394968748
0.05,0.389669843
0.06,0.383995114
0.07,0.378501259
0.08,0.37731517
0.09,0.376188001
0.1,0.374865851
0.11,0.373449802
0.12,0.371998557
0.13,0.370546894
0.14,0.369115552
0.15,0.367716805
0.16,0.366357668
0.17,0.365041921
0.18,0.363771204
0.19,0.362545908
0.2,0.361361389
0.21,0.36022498
0.22,0.359131211
0.23,0.358078643
0.24,0.357065739
0.25,0.356090938
0.26,0.35530232
0.27,0.354548791
0.28,0.353828913
0.29,0.353141314
0.3,0.352484738
0.31,0.351857993
0.32,0.351259913
0.33,0.350689485
0.34,0.3501457
0.35,0.349627685
0.36,0.349134553
0.37,0.348665569
0.38,0.348220014
0.39,0.347797242
0.4,0.347396631
0.41,0.34701768
0.42,0.346659865
0.43,0.346322785
0.44,0.346006021
0.45,0.345709279
0.46,0.345432225
0.47,0.345174637
0.48,0.344936338
0.49,0.344717147
0.5,0.344516991
0.51,0.344335799
0.52,0.344173549
0.53,0.344229545
0.54,0.344558472
0.55,0.344897205
0.56,0.345246274
0.57,0.345606198
0.58,0.345977627
0.59,0.346361231
0.6,0.346757709
0.61,0.347438559
0.62,0.348124253
0.63,0.34882542
0.64,0.34954312
0.65,0.350278514
0.66,0.351032819
0.67,0.351807447
0.68,0.352603987
0.69,0.353424117
0.7,0.35426979
0.71,0.354509033
0.72,0.354709416
0.73,0.3549099
0.74,0.355110464
0.75,0.355311117
0.76,0.35551188
0.77,0.355712712
0.78,0.355913632
0.79,0.356114662
0.8,0.356315748
0.81,0.358064474
0.82,0.359813266
0.83,0.361562156
0.84,0.363311112
0.85,0.365060187
0.86,0.366809326
0.87,0.368558573
0.88,0.370307895
0.89,0.372057303
0.9,0.373806785
0.91,0.376348671
0.92,0.38397433
0.93,0.395337287
0.94,0.406624712
0.95,0.417912138
0.96,0.429199563
0.97,0.440486989
0.98,0.451774415
0.99,0.46306184
1,0.474349266
1.01,0.485636691
1.02,0.496924117
1.03,0.508211543
1.04,0.519498968
1.05,0.530786394
1.06,0.528638934
1.07,0.526522363
1.08,0.524435916
1.09,0.52237884
1.1,0.520350463
1.11,0.518350045
1.12,0.51637698
1.13,0.514430579
1.14,0.512510278
1.15,0.510615444
1.16,0.508462039
1.17,0.506323777
1.18,0.50421058
1.19,0.502121901
1.2,0.500057264
1.21,0.498016167
1.22,0.496153141
1.23,0.49460344
1.24,0.493244734
1.25,0.492043478
1.26,0.49098232
1.27,0.490050162
1.28,0.4892393
1.29,0.488544003
1.3,0.487959774
1.31,0.487483076
1.32,0.487110959
1.33,0.486841032
1.34,0.48667122
1.35,0.486599813
1.36,0.48662529
1.37,0.486746372
1.38,0.486961959
1.39,0.487271021
1.4,0.487672766
1.41,0.488166367
1.42,0.488751235
1.43,0.489426741
1.44,0.490192389
1.45,0.491047758
1.46,0.491992417
1.47,0.493026064
1.48,0.494148382
1.49,0.495359116
1.5,0.496658066
1.51,0.498045055
1.52,0.499519928
1.53,0.501082553
1.54,0.502732851
1.55,0.504470763
1.56,0.506296215
1.57,0.508209196
1.58,0.51020971
1.59,0.512297773
1.6,0.5144734
1.61,0.516736639
1.62,0.519087579
1.63,0.521526283
1.64,0.524052833
1.65,0.526667332
1.66,0.529369913
1.67,0.532160697
1.68,0.535039819
1.69,0.538007417
1.7,0.541063676
1.71,0.544208754
1.72,0.547442791
1.73,0.550766042
1.74,0.55417865
1.75,0.557680827
1.76,0.561272791
1.77,0.564954747
